filename,sentence_number,sentence_text,past_references,future_references
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,0,"[chair snaps]

What the fuck?",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,1,"[thuds on floor]

[groans]

[indistinct chatter]",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,2,Ah!,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,3,There she is.,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,4,"[applauding]

[man] Woman of the hour.",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,5,Morning.,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,6,,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,7,Hey.,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,8,"Ah, condolences.",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,9,"Oh, thank you.",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,10,Where’s Joan?,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,11,,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,12,I don’t know.,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,13,"Welcome back, everyone.",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,14,,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,15,Here’s a little swag from Dean Larson.,0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,16,[man 2],0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,17,"Whoa.

Our first lady chair.",0,0
/Users/jmanning/prediction-retrodiction-paper/data/the_chair/the_chair_s1e1_transcript.txt,18,Woman chair.,0,0
