no,session,trial,segment,story,segment_num,condition,with_char,sub,sub_session,res_1,res_1_simi_info,res_1_simi_info_z,res_1_simi_self,res_1_simi_self_z,res_1_simi_other,res_1_simi_other_z,res_1_MAD,res_1_MAD_z,res_1_MD,res_1_MD_z,res_1_MAD_sub,res_1_MAD_sub_z,res_1_MD_sub,res_1_MD_sub_z,res_1_MAD_oppo_sub,res_1_MAD_oppo_sub_z,res_1_MD_oppo_sub,res_1_MD_oppo_sub_z,res_1_score,res_1_conf,res_2,res_2_score,res_2_conf,res_3,res_3_score,res_3_conf,version,cond_1,cond_direction,cond_amount,base_segment,base_seg_num,segment_pair,segment_count,label,characters,hit_char,res_1_simi_otherseg_01,res_1_simi_otherseg_02,res_1_simi_otherseg_03,res_1_simi_otherseg_04,res_1_simi_otherseg_05,res_1_simi_otherseg_06,res_1_simi_otherseg_07,res_1_simi_otherseg_08,res_1_simi_otherseg_09,res_1_simi_otherseg_10,res_1_simi_otherseg_11,hit,scenes,note,match_seg_num,is_seg_matched
0,3,1,1_01,1,1,p_recall,True,0116-1,0116-1,Beth and Rob move into a new house. Beth meets Sheila and Leo as she arrives to see the house for the first time. She promises to invite them over after they finish moving in. ,,,,,0.8277958247320972,1.1810926071014165,0.8235281756439476,1.1676836166421845,0.8289393068016341,1.1847365197553583,0.8277958247320972,1.1810926071014165,0.824200277756079,1.1697757803565088,0.8542029081265786,1.2714971550970608,0.8486476256146415,1.2512994570913354,,5.0,,,,,,,exp,recall_p,f,p_recall/r_recall,1_01,1,,0,1_01 : p_recall,"Beth, Sheila, Rob, Leo",True,0.827165732821317,0.7046325852439724,0.6347475344670488,0.6925599657385856,0.6517031389090283,0.5484838284936758,0.663552502387388,0.6076711313596318,0.5349736974245647,0.5354761560043045,0.6223525062654514,0,101 102 152 153,,1,True
1,3,2,1_02,1,2,p0,False,0116-1,0116-1,Beth and Rob will move into the house. Sheila and Leo will come over to Beth and Rob's for dinner. ,,,0.7042710185050964,0.8757246556575492,0.6840644370250547,0.8367135900898133,0.741146297326625,0.9530179596507692,0.7362644154484699,0.9422720845501965,0.7577532129616414,0.9909173506387001,0.7689398519287562,1.0177288172608023,0.7342813727465399,0.9379552277759993,0.7214253892505016,0.9106110078265217,,4.0,,,,,,,exp,p0,f,p0/r0,1_01,1,1_01-02,1,1_02 : p0,"Beth, Sheila, Rob, Leo",True,0.7422282193084664,0.6845118169626995,0.6022743399741108,0.6545821743105202,0.6851534686913325,0.6112683850339452,0.6381417616995511,0.5664926147460653,0.5479330677447298,0.4577416370029743,0.6112591920079656,1,156 153 154 207,,1,False
2,3,3,1_02,1,2,p,True,0116-1,0116-1,Beth and Rob move into the house. Sheila and Leo come over to Beth and Rob's for dinner. ,,,0.7060203552246094,0.8792040650233418,0.7002842492017984,0.8678580966611674,0.7399063850745354,0.9502724827319313,0.7364160925149417,0.942603399679314,0.7917067575132214,1.0759885169386119,0.7917606931452943,1.0761330553768151,0.7553897426554369,0.9853900146400301,0.77086577062786,1.0224579278157597,,4.0,,,,,,,exp,p,f,p/r,1_01,1,1_01-02,1,1_02 : p,"Beth, Sheila, Rob, Leo",True,0.78196250120315,0.6965610435017502,0.6347904944936054,0.6654000422208258,0.6861972138789428,0.6166660249769114,0.6558092739973205,0.5847779738131562,0.5563142265251728,0.47167915916244674,0.6191992045453165,1,156 154 207,,1,False
3,3,4,1_03,1,3,p_r_recall,True,0116-1,0116-1,Beth is shopping at the grocery store. She overhears Sheila and another neighbor talking about her husband's affair with another woman. She runs away. ,,,,,,,0.7966229591845175,1.0893012238622597,0.803717050138358,1.1090238012730878,0.8157816777088914,1.14407487099184,0.8061582416213914,1.1159576011640322,0.7867122258561354,1.062745079219954,0.7814313825649969,1.049036231900601,,5.0,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_03,3,,2,1_03 : p_r_recall,"Beth, Sheila, One neighbor",True,0.5699191389082815,0.5461334947093449,0.776976212841211,0.6403580132538573,0.5555973159385799,0.45674350316549317,0.6393177498477047,0.5872427090249498,0.523263138021915,0.5428409318126586,0.5264622692558858,0,301 303 304 306,,3,True
4,3,5,1_02,1,2,p_r,True,0116-1,0116-1,Beth and Rob invited Sheila and Leo over for dinner after moving in their things. ,,,0.7186651825904846,0.9048788654099915,0.6492227623669568,0.7739540157157592,0.7659416000117585,1.0104343273610668,0.7658735989541521,1.010269829453036,0.7712000424402001,1.0232822559502004,0.7586540775225609,0.9930363997394356,0.746061250510775,0.9640123610322787,0.7480678888242368,0.9685533711704598,,4.0,,,,,,,exp,p_r,f,p_r/r_p,1_01,1,,1,1_02 : p_r,"Beth, Sheila, Rob, Leo",True,0.7176659070088698,0.664977319467173,0.5471636822116858,0.5966954422426206,0.5497888633184724,0.5094990042807076,0.5909568970101453,0.5251917036881963,0.4556595498207847,0.41211105300007356,0.5212184768781719,1,153 154 207 152,,1,False
5,3,6,1_02,1,2,recall_f,True,0116-1,0116-1,Sheila and Leo had tea at Beth and Rob's home. There was conflict between Sheila and Leo when Rob asked Beth for tea by only tapping on his cup. They left soon after. ,,,,,,,0.7949160142258187,1.0846469645762848,0.7927293376828459,1.0787345103067736,0.7677328051402481,1.014782346257085,0.766516890212304,1.0118276443083603,0.7703140679819591,1.0210996932847194,0.7661222244694278,1.0108714682213704,,5.0,,,,,,,exp,recall_p,f,recall_f/recall_b,1_02,2,,1,1_02 : recall_f,"Beth, Sheila, Rob, Leo",True,0.6739442028377437,0.7536290571746973,0.5815188942823581,0.6664119051007349,0.5588959608333435,0.4913796001238744,0.6415642026399608,0.5218300910413083,0.4570337700284408,0.34385025532684566,0.5180518666732356,0,207 204 206,,2,True
6,3,7,1_03,1,3,p_recall,True,0116-1,0116-1,Beth is shopping at the grocery store when she overhears Sheila and another neighbor talking about her husband's affair that she does not know about. This causes her to knock over a stack of cans and run away.,,,,,0.787698501946767,1.0653384467274494,0.7956437314048367,1.086626988026261,0.8010867128275109,1.1016382520762265,0.787698501946767,1.0653384467274494,0.7941646709056449,1.0826091762084062,0.791440581467018,1.0752756938321455,0.7838371424799405,1.0552449637667747,,5.0,,,,,,,exp,recall_p,f,p_recall/r_recall,1_03,3,,2,1_03 : p_recall,"Beth, Sheila, One neighbor",True,0.6058339091158682,0.5771159451808012,0.7656236793711084,0.6605098309974992,0.5794507638733287,0.5129204901934349,0.6543817300173531,0.5802362133896575,0.5376929416331429,0.5387795152087524,0.5628717222802153,0,301 303 304 306,,3,True
7,3,8,1_04,1,4,p0,False,0116-1,0116-1,Beth confronts Rob by asking him if he's having an affair. ,,,0.6954905986785889,0.8585127276957853,0.5627862382227218,0.6369016622066079,0.6886218398141467,0.8453299365852782,0.685288257839788,0.8390173927241443,0.6875403128030434,0.8432759258222197,0.684149754308628,0.8368739616835789,0.6825674514903821,0.8339054003150913,0.6866713462715529,0.8416297982518257,,3.0,,,,,,,exp,p0,f,p0/r0,1_03,3,1_03-04,3,1_04 : p0,"Beth, Sheila",False,0.5527288896230159,0.5234287393008434,0.5869986679921304,0.5968870044876633,0.7020125151947704,0.5875862242549937,0.5999799230050125,0.47825903180296725,0.6304897917385632,0.491924919214175,0.6682965795676131,0,1,,5,False
8,3,9,1_04,1,4,p,True,0116-1,0116-1,Sheila finds Beth and they talk about what Beth should do about her husband's affair.,,,0.7380977869033813,0.9462876833233861,0.7134785008035195,0.8942336100612669,0.6798393951949133,0.828815354912125,0.6907322387637697,0.849354774284681,0.6953265043325977,0.8581949659954644,0.7219248126315949,0.9116532429678543,0.7018368318160327,0.8709112775700849,0.7172165829956526,0.9018893497981966,,4.0,,,,,,,exp,p,f,p/r,1_03,3,1_03-04,3,1_04 : p,"Beth, Sheila",True,0.6167872297692898,0.5942322370738619,0.6848650776409517,0.709642655959378,0.5712586354721338,0.5030384702824059,0.7065928496789828,0.609575641413188,0.5992674195885186,0.5035024990898029,0.5445731567441888,1,431 0,,4,True
9,3,10,1_05,1,5,p_r_recall,True,0116-1,0116-1,Beth follows Rob to a diner where she sees him kiss April. ,,,,,,,0.8735349536122313,1.3478081590329063,0.865773675124048,1.315951859222169,0.7997176590144954,1.0978284997605128,0.7986130618514391,1.0947715013878083,0.7897613922221813,1.070797238151009,0.8056896980413473,1.1146207630476885,,5.0,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_05,5,,4,1_05 : p_r_recall,"Beth, Rob, April",True,0.5438673006407749,0.49421423956288635,0.5956969817765949,0.5092120484019542,0.794979694293213,0.591979835931903,0.5997234200478183,0.6896570964561677,0.6544979315100017,0.5428387307389717,0.6343046887557917,0,504 505 506,,5,True
10,3,11,1_04,1,4,p_r,True,0116-1,0116-1,"Beth and Sheila talk and Beth refuses to believe her husband is cheating on her without evidence, so Sheila tells Beth the name of the diner her husband was seen kissing the woman. Beth decides to go see for herself. ",,,0.748367965221405,0.9692350997605951,0.7317499781282393,0.9324841306135303,0.6838236892256937,0.8362612441150687,0.6843477361662545,0.8372462454416861,0.6954461800429639,0.8584266990396862,0.6812434693905685,0.8314306872580202,0.6339635557430828,0.7480155342739022,0.6492221148338635,0.7739528964043538,,4.0,,,,,,,exp,p_r,f,p_r/r_p,1_03,3,,3,1_04 : p_r,"Beth, Sheila",True,0.6061442883396301,0.6098896626854964,0.7176737836372213,0.7433806704901944,0.6786088357997306,0.5573106105047279,0.755305687724262,0.69520160157436,0.6338961893960527,0.4892276427110248,0.5865626086016216,1,431 406 404 503,,7,False
11,3,12,1_04,1,4,recall_f,True,0116-1,0116-1,Sheila comes over to Beth to talk to her about what happened at the grocery store. Beth refuses to believe that Rob is cheating claiming he wouldn't do that after something tragic happened to their daughter. ,,,,,,,0.8033866382952665,1.108091236275202,0.7985630190494724,1.0946333597297289,0.8145467078302199,1.1403939558229172,0.8041493895598992,1.1102461651943332,0.8249453014104674,1.1721034026415142,0.8183523770806218,1.1518087050994439,,5.0,,,,,,,exp,recall_p,f,recall_f/recall_b,1_04,4,,3,1_04 : recall_f,"Beth, Sheila",True,0.6451718946532822,0.6348986258959732,0.7588262656079251,0.7879314816912242,0.6669740013977616,0.6037180781034539,0.7306904873845045,0.642939199657539,0.6028595764077211,0.5236153267208503,0.6351579551121552,0,402 404 406,,4,True
12,3,13,1_05,1,5,p_recall,True,0116-1,0116-1,Beth receives a call from Rob saying he will be home late because he has a meeting. Beth goes to the diner to see Rob kissing April. ,,,,,0.8790575068745494,1.371605217395111,0.8654287250051472,1.3145761003629213,0.8653574984415962,1.3142924362813497,0.8790575068745494,1.371605217395111,0.8689833821708586,1.3289128736541047,0.8731705750265919,1.3462723477775453,0.8732021216853144,1.3464051503162415,,5.0,,,,,,,exp,recall_p,f,p_recall/r_recall,1_05,5,,4,1_05 : p_recall,"Beth, Rob, April",True,0.6324817335737325,0.5773492939607872,0.6237339505461588,0.594161814181681,0.8753305988655147,0.6364424059805206,0.661633073081256,0.6502009712083131,0.6795030779727618,0.5126817029718216,0.6824814090532548,0,502 504 505 506,,5,True
13,3,14,1_06,1,6,p0,False,0116-1,0116-1,Beth confronts Rob about his affair. ,,,0.6287489533424377,0.7393444882161391,0.6000824156128666,0.693275964906237,0.7377170035727123,0.9454517019583935,0.7494532658711505,0.9717065660447324,0.7239018256077874,0.9157944985550266,0.7548631214574661,0.9841646984606742,0.6407538629950411,0.7594516579007784,0.654782261522732,0.7836246855725486,,3.0,,,,,,,exp,p0,f,p0/r0,1_05,5,1_05-06,5,1_06 : p0,"Beth, Rob",True,0.5458034545322215,0.5094622493275677,0.566019613691922,0.5986946119368213,0.6760657756356042,0.5771467942852008,0.5873449795111643,0.471250634287228,0.6201984007495799,0.4708021194429026,0.6554728873616773,0,1,,5,False
14,3,15,1_06,1,6,p,True,0116-1,0116-1,Beth confronts Rob about his affair. ,,,0.6287489533424377,0.7393444882161391,0.6000824156128666,0.693275964906237,0.7149077396512648,0.8971508568134599,0.7432287016491621,0.9576542246961702,0.7042452412589828,0.8756735124067918,0.7503909004532092,0.9738491606565127,0.6328892453513042,0.7462213407747498,0.6351121904677929,0.7499383819053493,,4.0,,,,,,,exp,p,f,p/r,1_05,5,1_05-06,5,1_06 : p,"Beth, Rob",True,0.5458034545322215,0.5094622493275677,0.566019613691922,0.5986946119368213,0.6760657756356042,0.5771467942852008,0.5873449795111643,0.471250634287228,0.6201984007495799,0.4708021194429026,0.6554728873616773,0,1,,5,False
15,3,16,1_07,1,7,p_r_recall,True,0116-1,0116-1,Sheila comes over to Beth's. She tells Beth to confront the woman her husband is cheating on her with and to scare her by threatening to tell her boss. ,,,,,,,0.8009073851357206,1.1011379009666769,0.8054813856432749,1.1140273343722569,0.7278966815965098,0.9242391577948429,0.7411443740563929,0.9530136923889393,0.7632719493941854,1.0040072038883545,0.7643202350701453,1.006523401972224,,5.0,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_07,7,,6,1_07 : p_r_recall,"Beth, Sheila",True,0.5992898432164045,0.5788608071820526,0.6877562812873762,0.7013155997898233,0.5987145809198122,0.49837014769199484,0.7515877477222592,0.6247942588942197,0.5733298516986637,0.4890711251329868,0.5469004197467688,0,701 704 831,,7,True
16,3,17,1_06,1,6,p_r,True,0116-1,0116-1,Beth waits for Rob to come home and questions what he was doing. ,,,0.6179685592651367,0.7217118773851833,0.5776225092063617,0.6588874048106562,0.6904761565099926,0.8488651948750786,0.695129152420132,0.8578129883303744,0.691096859510938,0.8500524300635194,0.6827601648947622,0.8342663070407292,0.7054921502122626,0.8781516709265356,0.7045840683568197,0.8763460553476279,,4.0,,,,,,,exp,p_r,f,p_r/r_p,1_05,5,,5,1_06 : p_r,"Beth, Rob",True,0.5673713111316065,0.4903549033180954,0.4971330319572014,0.5138650701297309,0.6356620794498663,0.582922789713117,0.5047120525241032,0.44006099993224645,0.5090789086755987,0.5014967793747825,0.6381218611983496,0,553 1,,11,False
17,3,18,1_06,1,6,recall_f,True,0116-1,0116-1,Beth tells Rob she doesn't know who she is without him. Rob gives her permission to do whatever she wants as long as it doesn't affect his dinners. Rob almost chokes on a pimento. ,,,,,,,0.7818766668001449,1.0501808718244359,0.7801252298344241,1.0456904184448248,0.7418869996850471,0.9546634062045118,0.752600883126405,0.9789266460971964,0.7585371868720187,0.9927610601444083,0.749676706638003,0.9722165274527944,,5.0,,,,,,,exp,recall_p,f,recall_f/recall_b,1_06,6,,5,1_06 : recall_f,"Beth, Rob",True,0.531992863762786,0.5267367486845452,0.5399348942006066,0.5289581939631036,0.6744982661928611,0.7637708468587607,0.5671421951642285,0.4920450467553923,0.5482188944021973,0.3972791995002116,0.6909793906082704,0,603 604 605 606,,6,True
18,3,19,1_07,1,7,p_recall,True,0116-1,0116-1,Sheila tells Beth to go confront the woman her husband is cheating on her with and threaten her. ,,,,,0.7175725962235251,0.9026228759835471,0.7850058978510577,1.0582832012202512,0.7839804881087965,1.0556168197436753,0.7175725962235251,0.9026228759835471,0.7130062243734143,0.8932723020575115,0.720521189822061,0.9087280324205504,0.7243621485111175,0.9167623101369193,,5.0,,,,,,,exp,recall_p,f,p_recall/r_recall,1_07,7,,6,1_07 : p_recall,"Beth, Sheila",True,0.5688374218896037,0.572981910250385,0.6455192974365415,0.6972853367724418,0.5250712242197335,0.4490326735582588,0.7258425585794608,0.5528772370450625,0.5421793613256523,0.4372496675791189,0.4787406174177611,0,704 831,,7,True
19,3,20,1_08,1,8,p0,False,0116-1,0116-1,Beth goes to the diner to confront April. ,,,0.6249317526817322,0.7330565466358718,0.7394629363337214,0.9492932786313322,0.7024506187591987,0.8721219169467842,0.7520242116733623,0.9775979885825995,0.7874744788201661,1.0647484580301114,0.8083550404048844,1.1222642010749515,0.5803940725083971,0.6630567524756592,0.6095726045341775,0.7082409674128637,,3.0,,,,,,,exp,p0,f,p0/r0,1_07,7,1_07-08,7,1_08 : p0,"Beth, April",True,0.4529327293651113,0.38089731836583507,0.5323602978158538,0.4531845149753352,0.6506321885159112,0.48001759211174533,0.5438909366245146,0.7326244711046188,0.63059093442508,0.5112622057702025,0.48979713784485823,1,801 831,,8,True
20,3,21,1_08,1,8,p,True,0116-1,0116-1,Beth goes to the diner to confront April. They argue. ,,,0.6338074803352356,0.7477546211333099,0.7494801421708372,0.9717678855076225,0.6996775310042589,0.8666685151929332,0.7456881297473921,0.963171375556635,0.7840249989353766,1.055732330361799,0.7894890199255246,1.070073790358736,0.7300923760830508,0.9289251579148488,0.7149198297447724,0.897175586075134,,4.0,,,,,,,exp,p,f,p/r,1_07,7,1_07-08,7,1_08 : p,"Beth, April",True,0.5049474961710527,0.43741499591572697,0.553641224304237,0.4918448616641171,0.6570660835863037,0.5131214464852796,0.5659747842898133,0.7426525983457293,0.6371878436527971,0.5182620579642591,0.5188040658147692,1,801 831 1,,8,True
21,3,22,1_09,1,9,p_r_recall,True,0116-1,0116-1,April admits she's having an affair with a married man to Beth. Beth asks why a man would do that to his wife. April says its because he's bored of having a house wife. ,,,,,,,0.7957604716920592,1.0869452044407453,0.7884446051211811,1.0673073534457176,0.7490539534554624,0.9707961803481395,0.7275033336292727,0.9234030524276968,0.7267555925285224,0.9218164432932561,0.7433456676250981,0.9579155870713406,,5.0,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_09,9,,8,1_09 : p_r_recall,"Beth, April",True,0.4498947231941868,0.38014390207768023,0.45818447666468504,0.49437946136153554,0.5825086672174945,0.4238994067516956,0.5214510301239137,0.5891052413995869,0.7515387261896783,0.44419186756320794,0.49111568041899134,0,902 903,,9,True
