story,segment_num,segment,cond_direction,condition,base_seg_num,ref_sc_num,ref_sc_hit,ref_seg_num,ref_step_base,ref_seg_type,main_or_gap,refer_type,refer_type_base_only,referring_type,rr_type,refer_list,referring_list,refer_boost_step_left,refer_boost_step_right,refer_boost_step,refer_boost_type,refer_boost_type_tri,refer_type_merge,refer_type_d,refer_type_point,refer_type_point_merge,referring_type_point,sc_point,refer_point_c,refer_point_c_merge,referring_point_c,ref_step_base_abs,color
1,2,1_02,f,p,1,101,0.0,1.0,0.0,self,main,NA,NA,NA,NA,[151 152 153 155 233],[],99.0,0.5,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
2,2,2_02,f,p,1,101,0.0,1.0,0.0,self,main,NA,NA,NA,NA,[153 151 231],[],99.0,0.5,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
1,2,1_02,f,p0,1,101,0.0,1.0,0.0,self,main,NA,NA,NA,NA,[151 152 153 155 233],[],99.0,0.5,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
2,2,2_02,f,p0,1,101,0.0,1.0,0.0,self,main,NA,NA,NA,NA,[153 151 231],[],99.0,0.5,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
1,1,1_01,b,r,2,101,0.875,1.0,-1.0,target,main,none,none,none,none,[157 153 154],[102],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#c85200
1,2,1_02,b,r,3,101,0.0,1.0,-2.0,ahead_main,main,none,none,none,none,[153 154 207 205 251 233],[201],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#fc7d0b
1,3,1_03,b,r,4,101,0.0,1.0,-3.0,ahead_main,main,none,none,none,none,[303 304],[],99.0,2.0,2.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#fc7d0b
1,4,1_04,b,r,5,101,0.0,1.0,-4.0,ahead_main,main,none,none,none,none,[],[405],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#fc7d0b
1,5,1_05,b,r,6,101,0.0,1.0,-5.0,ahead_main,main,none,none,none,none,[552 504 505 506],[405],99.0,4.0,4.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#fc7d0b
1,6,1_06,b,r,7,101,0.0,1.0,-6.0,ahead_main,main,none,none,none,none,[504 505 506 632 651],[],99.0,4.0,4.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,#fc7d0b
1,7,1_07,b,r,8,101,0.0,1.0,-7.0,ahead_main,main,none,none,none,none,[],[704 704],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,#fc7d0b
1,8,1_08,b,r,9,101,0.0,1.0,-8.0,ahead_main,main,none,none,none,none,[852 881],[803],99.0,7.5,7.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,#fc7d0b
1,9,1_09,b,r,10,101,0.0,1.0,-9.0,ahead_main,main,none,none,none,none,[],[904 904 904],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,#fc7d0b
1,10,1_10,b,r,11,101,0.0,1.0,-10.0,ahead_main,main,none,none,none,none,[1003 1004 1054 1055 1056 1052 1031 1081],[],99.0,9.0,9.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,#fc7d0b
2,1,2_01,b,r,2,101,0.0,1.0,-1.0,target,main,none,none,none,none,[156],[102],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#c85200
2,2,2_02,b,r,3,101,0.0,1.0,-2.0,ahead_main,main,none,none,none,none,[252 156 252],[],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#fc7d0b
2,3,2_03,b,r,4,101,0.0,1.0,-3.0,ahead_main,main,none,none,none,none,[301 352 156 252 302 301],[],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#fc7d0b
2,4,2_04,b,r,5,101,0.0,1.0,-4.0,ahead_main,main,none,none,none,none,[452 456 451 455 156 252 302 452 452 301],[],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#fc7d0b
2,5,2_05,b,r,6,101,0.0,1.0,-5.0,ahead_main,main,none,none,none,none,[156 553 252 302 452 452 301],[],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#fc7d0b
2,6,2_06,b,r,7,101,0.0,1.0,-6.0,ahead_main,main,none,none,none,none,[252 302 652 656 452 452 654 653 301],[],99.0,1.5,1.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,#fc7d0b
2,7,2_07,b,r,8,101,0.0,1.0,-7.0,ahead_main,main,none,none,none,none,[452 751 752 753 706 452 654 653 301 708],[703 703],99.0,2.0,2.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,#fc7d0b
2,8,2_08,b,r,9,101,0.0,1.0,-8.0,ahead_main,main,none,none,none,none,[706 851 452 654 653 301 708 851],[703 801],99.0,2.0,2.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,#fc7d0b
