sub,condition,story,segment,segment_count,base_seg_num,base_segment,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,rr_type,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0522-1,r0,3,3_01,12.0,2,3_02,1.0,-1.0,1.0,target,main,none,12,12.0,0.0,3_02_1.0,5.5,-4.625
0522-1,r0,3,3_01,12.0,2,3_02,1.0,-1.0,1.0,target,main,referred,4,3.0,0.0,3_02_1.0,5.5,-4.625
0522-1,r0,3,3_02,11.0,3,3_03,1.0,-2.0,2.0,ahead_main,main,none,12,12.0,1.0,3_03_1.0,4.5,-3.625
0522-1,r0,3,3_02,11.0,3,3_03,1.0,-2.0,2.0,ahead_main,main,referred,4,3.0,0.0,3_03_1.0,4.5,-3.625
0522-1,r0,3,3_02,11.0,3,3_03,2.0,-1.0,1.0,target,main,none,5,4.0,0.0,3_03_2.0,4.5,-4.625
0522-1,r0,3,3_03,10.0,4,3_04,1.0,-3.0,3.0,ahead_main,main,none,12,12.0,0.0,3_04_1.0,3.5,-2.625
0522-1,r0,3,3_03,10.0,4,3_04,1.0,-3.0,3.0,ahead_main,main,referred,4,3.0,0.0,3_04_1.0,3.5,-2.625
0522-1,r0,3,3_03,10.0,4,3_04,2.0,-2.0,2.0,ahead_main,main,none,5,4.0,0.0,3_04_2.0,3.5,-3.625
0522-1,r0,3,3_03,10.0,4,3_04,3.0,-1.0,1.0,target,main,none,3,3.0,0.0,3_04_3.0,3.5,-4.625
0522-1,r0,3,3_03,10.0,4,3_04,3.0,-1.0,1.0,target,main,referred,5,4.5,0.0,3_04_3.0,3.5,-4.625
0522-1,r0,3,3_04,9.0,5,3_05,1.0,-4.0,4.0,ahead_main,main,none,12,12.0,0.0,3_05_1.0,2.5,-1.625
0522-1,r0,3,3_04,9.0,5,3_05,1.0,-4.0,4.0,ahead_main,main,referred,4,3.0,0.0,3_05_1.0,2.5,-1.625
0522-1,r0,3,3_04,9.0,5,3_05,2.0,-3.0,3.0,ahead_main,main,none,5,4.0,0.0,3_05_2.0,2.5,-2.625
0522-1,r0,3,3_04,9.0,5,3_05,3.0,-2.0,2.0,ahead_main,main,none,3,3.0,0.0,3_05_3.0,2.5,-3.625
0522-1,r0,3,3_04,9.0,5,3_05,3.0,-2.0,2.0,ahead_main,main,referred,5,4.5,0.5,3_05_3.0,2.5,-3.625
0522-1,r0,3,3_04,9.0,5,3_05,4.0,-1.0,1.0,target,main,none,6,5.5,0.0,3_05_4.0,2.5,-4.625
0522-1,r0,3,3_05,8.0,6,3_06,1.0,-5.0,5.0,ahead_main,main,none,12,12.0,0.0,3_06_1.0,1.5,-0.625
0522-1,r0,3,3_05,8.0,6,3_06,1.0,-5.0,5.0,ahead_main,main,referred,4,3.0,0.0,3_06_1.0,1.5,-0.625
0522-1,r0,3,3_05,8.0,6,3_06,2.0,-4.0,4.0,ahead_main,main,none,5,4.0,0.0,3_06_2.0,1.5,-1.625
0522-1,r0,3,3_05,8.0,6,3_06,3.0,-3.0,3.0,ahead_main,main,none,3,3.0,0.0,3_06_3.0,1.5,-2.625
0522-1,r0,3,3_05,8.0,6,3_06,3.0,-3.0,3.0,ahead_main,main,referred,5,4.5,0.0,3_06_3.0,1.5,-2.625
0522-1,r0,3,3_05,8.0,6,3_06,4.0,-2.0,2.0,ahead_main,main,none,6,5.5,0.0,3_06_4.0,1.5,-3.625
0522-1,r0,3,3_05,8.0,6,3_06,5.0,-1.0,1.0,target,main,none,2,1.5,0.0,3_06_5.0,1.5,-4.625
0522-1,r0,3,3_05,8.0,6,3_06,5.0,-1.0,1.0,target,main,referring,1,1.0,0.0,3_06_5.0,1.5,-4.625
0522-1,r0,3,3_06,7.0,7,3_07,1.0,-6.0,6.0,ahead_main,main,none,12,12.0,0.0,3_07_1.0,0.5,0.375
